Village A,Village B,Village C,Village D,Village E
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.04457,0.04457,0.04457,0.04457,0.04457
0.22016,0.22016,0.22016,0.22016,0.22016
0.39611,0.39611,0.39611,0.39611,0.39611
0.53806,0.53806,0.53806,0.53806,0.53806
0.6912,0.6912,0.6912,0.6912,0.6912
0.7519,0.7519,0.7519,0.7519,0.7519
0.76369,0.76369,0.76369,0.76369,0.76369
0.72198,0.72198,0.72198,0.72198,0.72198
0.62491,0.62491,0.62491,0.62491,0.62491
0.35524,0.35524,0.35524,0.35524,0.35524
0.25581,0.25581,0.25581,0.25581,0.25581
0.10095,0.10095,0.10095,0.10095,0.10095
0.00909,0.00909,0.00909,0.00909,0.00909
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.04256,0.04256,0.04256,0.04256,0.04256
0.21489,0.21489,0.21489,0.21489,0.21489
0.35666,0.35666,0.35666,0.35666,0.35666
0.551,0.551,0.551,0.551,0.551
0.68669,0.68669,0.68669,0.68669,0.68669
0.45002,0.45002,0.45002,0.45002,0.45002
0.7416,0.7416,0.7416,0.7416,0.7416
0.71429,0.71429,0.71429,0.71429,0.71429
0.62096,0.62096,0.62096,0.62096,0.62096
0.47873,0.47873,0.47873,0.47873,0.47873
0.29508,0.29508,0.29508,0.29508,0.29508
0.10039,0.10039,0.10039,0.10039,0.10039
0.00907,0.00907,0.00907,0.00907,0.00907
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.01258,0.01258,0.01258,0.01258,0.01258
0.16281,0.16281,0.16281,0.16281,0.16281
0.26003,0.26003,0.26003,0.26003,0.26003
0.4403,0.4403,0.4403,0.4403,0.4403
0.47834,0.47834,0.47834,0.47834,0.47834
0.58187,0.58187,0.58187,0.58187,0.58187
0.55709,0.55709,0.55709,0.55709,0.55709
0.32754,0.32754,0.32754,0.32754,0.32754
0.36523,0.36523,0.36523,0.36523,0.36523
0.27168,0.27168,0.27168,0.27168,0.27168
0.14596,0.14596,0.14596,0.14596,0.14596
0.09627,0.09627,0.09627,0.09627,0.09627
0.0029,0.0029,0.0029,0.0029,0.0029
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.04217,0.04217,0.04217,0.04217,0.04217
0.19573,0.19573,0.19573,0.19573,0.19573
0.31937,0.31937,0.31937,0.31937,0.31937
0.48099,0.48099,0.48099,0.48099,0.48099
0.59109,0.59109,0.59109,0.59109,0.59109
0.67658,0.67658,0.67658,0.67658,0.67658
0.75358,0.75358,0.75358,0.75358,0.75358
0.55921,0.55921,0.55921,0.55921,0.55921
0.40491,0.40491,0.40491,0.40491,0.40491
0.30344,0.30344,0.30344,0.30344,0.30344
0.15558,0.15558,0.15558,0.15558,0.15558
0.10445,0.10445,0.10445,0.10445,0.10445
0.00359,0.00359,0.00359,0.00359,0.00359
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.04197,0.04197,0.04197,0.04197,0.04197
0.16859,0.16859,0.16859,0.16859,0.16859
0.29858,0.29858,0.29858,0.29858,0.29858
0.4224,0.4224,0.4224,0.4224,0.4224
0.43108,0.43108,0.43108,0.43108,0.43108
0.64118,0.64118,0.64118,0.64118,0.64118
0.74203,0.74203,0.74203,0.74203,0.74203
0.61081,0.61081,0.61081,0.61081,0.61081
0.59559,0.59559,0.59559,0.59559,0.59559
0.4054,0.4054,0.4054,0.4054,0.4054
0.24824,0.24824,0.24824,0.24824,0.24824
0.10124,0.10124,0.10124,0.10124,0.10124
0.01042,0.01042,0.01042,0.01042,0.01042
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.02783,0.02783,0.02783,0.02783,0.02783
0.17937,0.17937,0.17937,0.17937,0.17937
0.32293,0.32293,0.32293,0.32293,0.32293
0.5108,0.5108,0.5108,0.5108,0.5108
0.66783,0.66783,0.66783,0.66783,0.66783
0.7187,0.7187,0.7187,0.7187,0.7187
0.71979,0.71979,0.71979,0.71979,0.71979
0.628,0.628,0.628,0.628,0.628
0.54864,0.54864,0.54864,0.54864,0.54864
0.47397,0.47397,0.47397,0.47397,0.47397
0.29106,0.29106,0.29106,0.29106,0.29106
0.10843,0.10843,0.10843,0.10843,0.10843
0.01246,0.01246,0.01246,0.01246,0.01246
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0503,0.0503,0.0503,0.0503,0.0503
0.16743,0.16743,0.16743,0.16743,0.16743
0.35324,0.35324,0.35324,0.35324,0.35324
0.50217,0.50217,0.50217,0.50217,0.50217
0.61753,0.61753,0.61753,0.61753,0.61753
0.61946,0.61946,0.61946,0.61946,0.61946
0.64021,0.64021,0.64021,0.64021,0.64021
